,cik,year,Topic_Q1,Topic_Q2,Topic_Q3,Topic_Q4,Topic_MDA
4364,1160858.0,2012,3,6,2,3,7
4365,1160958.0,2011,1,5,-1,-1,3
4366,1160958.0,2012,8,2,-1,-1,3
4367,1160958.0,2013,8,-1,1,-1,3
4368,1161154.0,2010,24,1,3,1,0
4369,1161154.0,2011,-1,1,3,1,0
4370,1161154.0,2012,-1,1,-1,1,0
4371,1161154.0,2013,-1,1,-1,1,0
4372,1162112.0,2013,14,1,8,1,0
4373,1162194.0,2012,0,0,0,0,20
4374,1162194.0,2013,0,0,0,0,20
4375,1162461.0,2010,0,0,0,0,3
4376,1162461.0,2011,0,0,0,0,3
4377,1162461.0,2012,0,0,0,0,3
4378,1162461.0,2013,0,0,0,0,3
4379,1162556.0,2011,-1,21,29,20,13
4380,1162556.0,2012,29,21,29,20,13
4381,1162556.0,2013,-1,21,29,20,13
4382,1163698.0,2011,-1,-1,1,2,-1
4383,1163698.0,2012,-1,2,1,-1,4
4384,1163739.0,2009,-1,1,-1,1,0
4385,1163739.0,2010,6,-1,8,1,0
4386,1163739.0,2011,14,1,8,1,0
4387,1164727.0,2009,25,26,-1,7,5
4388,1164727.0,2010,-1,26,11,7,5
4389,1164727.0,2011,25,26,11,7,5
4390,1164727.0,2012,-1,26,-1,9,5
4391,1164727.0,2013,25,26,11,7,5
4392,1164863.0,2009,-1,13,-1,-1,10
4393,1164863.0,2010,-1,-1,-1,-1,10
4394,1164863.0,2011,-1,-1,0,-1,10
4395,1164863.0,2012,-1,-1,-1,-1,10
4396,1164863.0,2013,0,-1,0,2,10
4397,1165002.0,2009,15,-1,13,-1,2
4398,1165002.0,2010,-1,-1,13,-1,2
4399,1165002.0,2011,-1,-1,-1,-1,2
4400,1165002.0,2012,15,-1,13,-1,2
4401,1165002.0,2013,-1,36,13,6,2
4402,1165231.0,2010,1,5,1,-1,-1
4403,1165231.0,2012,1,-1,-1,22,-1
4404,1165231.0,2013,1,-1,27,-1,-1
4405,1166003.0,2012,8,18,5,17,16
4406,1166003.0,2013,8,18,5,17,16
4407,1166036.0,2009,17,1,-1,1,0
4408,1166036.0,2010,-1,1,-1,1,0
4409,1166036.0,2011,17,1,-1,1,0
4410,1166036.0,2012,17,-1,-1,1,0
4411,1166036.0,2013,17,1,-1,1,0
4412,1166380.0,2012,8,-1,-1,4,12
4413,1166380.0,2013,-1,18,-1,-1,12
4414,1166691.0,2008,1,2,-1,2,-1
4415,1166691.0,2010,7,-1,1,-1,-1
4416,1166691.0,2011,7,15,-1,2,-1
4417,1166691.0,2012,-1,-1,-1,13,-1
4418,1167178.0,2010,19,-1,-1,38,5
4419,1167294.0,2012,-1,13,1,-1,4
4420,1167294.0,2013,-1,2,-1,2,4
4421,1168054.0,2008,-1,1,-1,1,0
4422,1168054.0,2011,-1,1,-1,1,0
4423,1168054.0,2012,-1,1,-1,1,0
4424,1168054.0,2013,-1,1,3,1,0
4425,1168195.0,2009,-1,10,-1,-1,9
4426,1168195.0,2010,-1,-1,1,-1,-1
4427,1168195.0,2011,-1,2,1,-1,-1
4428,1168195.0,2012,1,35,-1,5,-1
4429,1168220.0,2011,0,0,0,0,1
4430,1168696.0,2009,28,32,34,-1,13
4431,1168696.0,2010,28,32,34,36,13
4432,1169445.0,2009,0,0,0,0,11
4433,1169445.0,2010,0,0,0,0,11
4434,1169445.0,2011,0,0,0,0,11
4435,1169445.0,2012,0,-1,0,0,11
4436,1169445.0,2013,0,0,0,0,11
4437,1169988.0,2013,1,2,-1,-1,4
4438,1170154.0,2011,6,1,-1,1,0
4439,1170154.0,2011,6,1,-1,1,0
4440,1171012.0,2011,1,5,1,-1,3
4441,1171012.0,2012,-1,5,1,-1,3
4442,1171012.0,2013,1,5,1,-1,3
4443,1171014.0,2010,12,16,10,10,14
4444,1171014.0,2012,12,16,10,10,14
4445,1171298.0,2011,0,-1,0,0,24
4446,1171298.0,2012,0,12,0,0,24
4447,1171759.0,2008,12,16,10,10,14
4448,1171759.0,2009,12,16,10,10,14
4449,1171759.0,2010,12,16,10,10,14
