year,cik
2008,901491
2013,766421
2013,732834
2013,1031623
2008,903129
2008,902791
2008,900708
2008,907649
2008,902274
2008,354908
2008,904973
2008,78890
2013,1029023
2008,909724
2008,908598
2008,903651
2008,908255
2008,891482
2008,869570
2008,908652
2008,846913
2008,909281
2008,913142
2008,911002
2008,899723
2008,906553
2008,910521
2008,911649
2008,889900
2008,879169
2008,912562
2008,912145
2013,1019034
2008,912607
2008,912750
2008,1041577
2008,901219
2013,1034670
2008,913032
2008,913241
2008,913885
2008,915389
2008,912513
2008,910329
2013,1011570
2008,914536
2008,916085
2008,915778
2013,917273
2008,916365
2008,915866
2008,915913
2008,916529
2008,914208
2008,882796
2008,917470
2008,918581
2013,1018724
2008,917523
2008,919015
2008,918160
2008,918946
2008,881524
2008,919443
2008,870753
2008,906709
2008,868512
2008,850660
2008,864240
2013,24491
2013,1038222
2008,890465
2008,921738
2008,920371
2008,921691
2008,922521
2008,948846
2008,1047340
2013,873303
2008,924822
2008,926282
2008,924646
2008,896262
2008,924168
2008,919013
2008,908937
2008,861884
2008,884731
2008,928421
2008,916230
2008,925645
2008,928658
2008,925528
2008,853695
2008,216539
2008,886432
2008,929994
2008,932111
2008,931584
2008,931683
2008,914577
2008,931948
2008,922475
2013,1036262
2008,1096376
2008,868278
2008,932696
2008,934648
2008,935036
2008,935494
2008,1363851
2008,944148
2008,851310
2008,914329
2013,1035983
2008,912752
2008,944075
2008,943322
2008,944739
2008,945235
2008,215219
2008,1001082
2008,1172222
2008,945114
2008,920707
2008,934549
2008,945983
2008,946842
2008,931148
2008,1135185
2008,1295810
2008,930420
2013,1389050
2008,917520
2008,892222
2008,947427
2008,893949
2008,949158
2008,949297
2008,949039
2013,1038133
2008,945841
2008,873044
2008,927066
2008,1037949
2008,1000228
2008,855683
2008,1000180
2008,1000623
2008,863650
2008,1001288
2013,924515
2008,1002225
2008,927003
2008,1000697
2008,949870
2008,1001604
2008,855906
2008,1001385
2008,1000694
2008,877890
2013,941604
2008,1000683
2008,1003642
